NUMBER,EXPERIMENT
1,CTRL_3
2,5DTTX_1
3,5DTTX_2
4,CTRL_2
5,5DTTX_3
6,5DTTX_4
7,5DTTX_1
8,CTRL_1
9,CTRL_1
10,5DTTX1
11,CTRL_1
12,5DTTX_1
13,5DTTX_3
14,CTRL_3
15,5DTTX_3
16,5DTTX_3
17,CTRL_2
18,5DTTX_2
