NUMBER, EXPERIMENT
1,CTRL_3
2,5DTTX_5
3,5DTTX_8
4,CTRL_7
5,CTRL_10
6,CTRL_1
7,5DTTX_2
8,CTRL_5
9,CTRL_6
10,5DTTX_4
11,5DTTX_10
12,5DTTX_6
13,CTRL_2
14,CTRL_4
15,5DTTX_1
16,CTRL_8
17,5DTTX_3
18,CTRL_9
19,5DTTX_9
20,5DTTX_7
